Resort,Predicted,Percentage
Bromont,Ikon,0.08333333333333333
Brookvale Ski Park,Ikon,1.0
Brundage Mountain,Ikon,1.0
Bryce Resort,Epic,1.0
Buffalo,Epic,0.5
Buffalo,Ikon,0.5
Buttermilk Mountain,Epic,1.0
Calabogie Peaks,Epic,1.0
Caledon Ski Club,Epic,1.0
Camden Snow Bowl,Ikon,1.0
Camp Fortune,Ikon,1.0
Canada Olympic Park Calgary,Ikon,1.0
Cannon Mountain,Ikon,1.0
Canyon Ski Area,Ikon,1.0
Cape Smokey,Ikon,1.0
Castle Mountain,Ikon,1.0
Cataloochee,Ikon,1.0
Chapman Hill Durango,Ikon,1.0
Chestnut Mountain,Epic,1.0
Chicopee,Epic,1.0
China Peak,Epic,1.0
Christie Mountain,Epic,1.0
Clearwater,Ikon,1.0
Cockaigne,Epic,0.9166666666666666
Cockaigne,Ikon,0.08333333333333333
Crabbe Mountain,Epic,1.0
Craigleith Ski Club,Epic,0.9166666666666666
Craigleith Ski Club,Ikon,0.08333333333333333
Cranmore Mountain Resort,Epic,1.0
Crystal Mountain (MI),Epic,1.0
Crystal Mountain Westbank,Ikon,1.0
Dagmar Ski Resort,Ikon,1.0
Devil's Elbow,Epic,1.0
Devil's Glen,Epic,0.9166666666666666
Devil's Glen,Ikon,0.08333333333333333
Discovery Ski Area,Ikon,1.0
Do-Mi-Ski Dolbeau-Mistassini,Ikon,1.0
Dodge Ridge,Ikon,1.0
Donner Ski Ranch,Ikon,1.0
Fairmont Hot Springs,Ikon,1.0
Farr's Hill Randolph,Epic,1.0
Fernie,Ikon,1.0
Fort Wainwright/Birch Hill Fairbanks,Ikon,1.0
Fortress Mountain,Ikon,1.0
Gallix,Ikon,1.0
Georgian Peaks Club,Epic,0.9166666666666666
Georgian Peaks Club,Ikon,0.08333333333333333
Glen Eden,Epic,1.0
Gore Mountain,Epic,1.0
Grand Targhee,Epic,1.0
Granite Gorge,Ikon,1.0
Granite Peak at Rib Mountain State Park,Epic,0.8333333333333334
Granite Peak at Rib Mountain State Park,Ikon,0.16666666666666666
Great Divide,Ikon,1.0
Grouse Mountain,Ikon,1.0
Gunstock,Epic,1.0
Hanson Hills,Epic,1.0
Harper Mountain,Ikon,1.0
Hatley Pointe,Ikon,1.0
Haute Gaspesie,Ikon,1.0
Haystack Mountain The Hermitage Club,Epic,1.0
Hesperus Ski Area,Ikon,1.0
Hidden Valley (AB),Ikon,1.0
Hidden Valley Highlands,Epic,1.0
Hilltop Anchorage,Epic,1.0
Hogadon Ski Area,Ikon,1.0
Holiday Mountain (MB),Epic,0.5
Holiday Mountain (MB),Ikon,0.5
Holiday Mountain (NY),Epic,0.9166666666666666
Holiday Mountain (NY),Ikon,0.08333333333333333
Holiday Valley,Epic,1.0
Homewood Mountain Resort,Ikon,1.0
Horseshoe Resort,Epic,1.0
Hudson Bay Mountain Smithers,Epic,1.0
Hunt Hollow Ski Club,Epic,1.0
Jay Peak,Epic,1.0
Kicking Horse Golden,Ikon,1.0
Kimberley,Ikon,1.0
King Pine Purity Spring Resort,Ikon,1.0
Kinosoo Ridge,Epic,1.0
La Tuque,Epic,1.0
Lake Louise,Epic,1.0
Lakeridge Resort,Epic,1.0
Las Vegas Ski and Snowboard Resort Lee Canyon,Ikon,1.0
Le Chantecler,Epic,1.0
Le Massif de Charlevoix,Ikon,1.0
Le Mont Grand-Fonds,Epic,1.0
Le Relais Lac Beauport,Epic,1.0
Loch Lomond,Epic,1.0
Lookout Pass,Ikon,1.0
Lost Trail Powder Mountain,Epic,1.0
Loveland,Epic,1.0
Lutsen Mountains,Epic,0.9166666666666666
Lutsen Mountains,Ikon,0.08333333333333333
Mad River Glen,Epic,1.0
Manning Park,Epic,1.0
Mansfield Ski Club,Epic,1.0
Marble Mountain Steady Brook (Humber Valley),Ikon,1.0
Marmot Basin Jasper,Epic,1.0
Martock,Ikon,1.0
Massif du Sud,Ikon,1.0
McCauley Mountain,Epic,1.0
Minnedosa Ski Valley,Epic,0.5833333333333334
Minnedosa Ski Valley,Ikon,0.4166666666666667
Misery Mountain,Epic,0.75
Misery Mountain,Ikon,0.25
Mission Ridge,Ikon,0.8333333333333334
Mission Ridge,Epic,0.16666666666666666
Monarch,Epic,1.0
Mont Adstock,Epic,1.0
Mont Avalanche,Epic,0.9166666666666666
Mont Avalanche,Ikon,0.08333333333333333
Mont Avila,Epic,1.0
Mont Bechervaise,Ikon,1.0
Mont Bellevue,Epic,1.0
Mont Belu,Ikon,1.0
Mont Biencourt,Epic,1.0
Mont Blanc,Epic,0.9166666666666666
Mont Blanc,Ikon,0.08333333333333333
Mont Cascades,Epic,1.0
Mont Castor,Ikon,1.0
Mont Chalco,Epic,0.9166666666666666
Mont Chalco,Ikon,0.08333333333333333
Mont Comi,Epic,0.5
Mont Comi,Ikon,0.5
Mont Edouard L'Anse-Saint-Jean,Epic,0.75
Mont Edouard L'Anse-Saint-Jean,Ikon,0.25
Mont Farlagne,Epic,1.0
Mont Fortin,Ikon,1.0
Mont Garceau,Epic,1.0
Mont Gleason,Epic,1.0
Mont Habitant,Epic,1.0
Mont Kanasuta,Epic,1.0
Mont La Reserve Saint-Donat-de-Montcalm,Epic,1.0
Mont Lac-Vert Hebertville,Ikon,1.0
Mont Miller,Ikon,0.8333333333333334
Mont Miller,Epic,0.16666666666666666
Mont Orford,Epic,1.0
Mont Orignal Lac Etchemin,Epic,1.0
Mont Rigaud,Ikon,1.0
Mont Ripley,Epic,1.0
Mont Saint-Bruno Saint-Bruno-de-Montarville,Ikon,1.0
Mont Ste-Marie,Epic,1.0
Mont Sutton,Epic,1.0
Mont Ti-Basse Baie-Comeau,Ikon,1.0
Mont Video,Epic,1.0
Mont-Saint-Mathieu,Ikon,1.0
Mont-Sainte-Anne,Epic,1.0
Montana Snowbowl,Ikon,1.0
Montcalm,Epic,1.0
Moose Mountain,Epic,1.0
Morin Heights,Epic,1.0
Mount Baldy Thunder Bay,Epic,0.75
Mount Baldy Thunder Bay,Ikon,0.25
Mount Cain,Ikon,1.0
Mount Dufour,Ikon,0.5833333333333334
Mount Dufour,Epic,0.4166666666666667
Mount Jamieson Timmins,Epic,1.0
Mount Joy,Epic,1.0
Mount Maichen,Ikon,1.0
Mount Pakenham,Ikon,1.0
Mount Pleasant,Epic,1.0
Mount Seymour,Ikon,1.0
Mount Sima,Epic,1.0
Mount St. Louis Moonstone,Epic,1.0
Mount Timothy,Epic,1.0
Mount Washington,Ikon,1.0
Mountain Creek Vernon,Ikon,1.0
Mountain High North,Ikon,1.0
Mt. Ashwabay Salmo,Epic,1.0
Mt. Baker,Ikon,1.0
Mt. Eyak,Ikon,1.0
Mt. Holiday,Epic,1.0
Mt. Hood Meadows,Ikon,1.0
Mt. Hood Skibowl,Ikon,1.0
Mt. Jefferson,Ikon,1.0
Mt. La Crosse,Epic,1.0
Mt. Lemmon Ski Valley,Ikon,1.0
Mt. Norquay Banff,Ikon,1.0
Mt. Rose,Epic,1.0
Mt. Southington,Ikon,1.0
Mt. Spokane,Epic,1.0
Mulligan's Hollow Ski Bowl,Epic,1.0
Murray Ridge,Ikon,1.0
Nakiska,Ikon,1.0
Nashoba Valley,Ikon,1.0
Nitehawk,Epic,0.9166666666666666
Nitehawk,Ikon,0.08333333333333333
Nordic Mountain,Epic,1.0
Norway Mountain,Ikon,1.0
Ober Gatlinburg,Epic,1.0
Ochapowace,Ikon,1.0
Osler Bluff Ski Club,Epic,0.9166666666666666
Osler Bluff Ski Club,Ikon,0.08333333333333333
Owl's Head,Epic,1.0
Pass Powderkeg Crowsnest Pass,Ikon,1.0
Perfect North Slopes,Ikon,1.0
Pico Mountain,Ikon,1.0
Pin Rouge,Ikon,1.0
Pine Knob,Epic,1.0
Poley Mountain,Ikon,1.0
Porcupine Mountain,Epic,1.0
Powder Mountain,Ikon,1.0
Powder Ridge,Epic,0.9166666666666666
Powder Ridge,Ikon,0.08333333333333333
Powder Ridge Mountain Park & Resort,Ikon,1.0
Powderhorn,Ikon,1.0
Purden,Ikon,1.0
Purgatory Durango,Ikon,1.0
Quechee Lakes Ski Area,Epic,1.0
Ragged Mountain,Epic,1.0
Red Lodge Mountain,Ikon,1.0
Red Mountain Resort Rossland,Ikon,1.0
Royal Mountain,Epic,0.8333333333333334
Royal Mountain,Ikon,0.16666666666666666
Saddleback,Ikon,1.0
Saint-Raymond,Ikon,1.0
Sandia Peak,Ikon,1.0
Santa Fe,Epic,1.0
Sasquatch Mountain Hemlock Valley,Ikon,1.0
Searchmont,Epic,1.0
Seven Oaks,Epic,1.0
Shames Mountain,Ikon,1.0
Shanty Creek Resorts Summit Mountain,Epic,1.0
Silver Mountain,Ikon,1.0
SilverStar,Ikon,1.0
Sir Sam's,Epic,1.0
Sitzmark,Ikon,1.0
Ski Brule,Epic,1.0
Sky Tavern,Epic,1.0
Smokey Mountain,Epic,1.0
Smugglers' Notch,Epic,1.0
Snow Ridge,Epic,0.8333333333333334
Snow Ridge,Ikon,0.16666666666666666
Snow Summit Big Bear Lake,Ikon,1.0
Snow Trails,Epic,1.0
Snow Valley Barrie,Epic,1.0
Snowstar,Epic,1.0
Sommet Edelweiss,Epic,1.0
Sommet Gabriel,Epic,1.0
Sommet Olympia,Epic,1.0
Sommet Saint-Sauveur,Epic,1.0
Spring Mountain,Ikon,1.0
Spruce Mountain Jay,Ikon,1.0
Stoneham,Epic,1.0
Stover Mountain,Epic,1.0
Sugar Bowl,Epic,1.0
Sugarloaf Provincial Park,Ikon,1.0
Sundance,Epic,1.0
Sundown,Ikon,1.0
Sunridge,Epic,1.0
Table Mountain,Epic,0.75
Table Mountain,Ikon,0.25
Tabor Mountain,Epic,1.0
Tamarack Resort,Ikon,1.0
Tawatinaw Valley,Epic,1.0
Telluride,Ikon,1.0
Terry Peak,Ikon,1.0
The Heights Horseshoe Valley,Epic,1.0
The Homestead Resort,Epic,1.0
Thunder Ridge,Epic,1.0
Timberline,Epic,1.0
Timberline Mountain,Ikon,1.0
Timberline Summit Pass,Ikon,1.0
Tobo-Ski,Epic,1.0
Treetops,Ikon,1.0
Troll Resort Quesnel,Ikon,1.0
Tyrol Basin Mt Horeb,Epic,1.0
Uplands Ski Centre,Epic,1.0
Utah Olympic Park,Ikon,1.0
Val Saint-Come,Epic,1.0
Val d'Irene,Epic,0.5
Val d'Irene,Ikon,0.5
Valinouet,Epic,1.0
Vallee Bleue,Epic,0.9166666666666666
Vallee Bleue,Ikon,0.08333333333333333
Vallee du Parc,Epic,1.0
Vista Ridge,Epic,1.0
Vorlage,Ikon,1.0
Wapiti Ski Hill Elkford,Epic,1.0
Wapiti Valley,Epic,1.0
Waterville Valley,Ikon,1.0
Welch Village,Epic,1.0
Wenatchee Mission Ridge,Ikon,1.0
Wentworth,Ikon,1.0
Whispering Pines Worsley,Epic,1.0
White Hills,Epic,1.0
White Pass,Ikon,1.0
Whiteface Lake Placid,Ikon,1.0
Whitefish Mountain Resort,Ikon,1.0
Whitewater Nelson,Ikon,1.0
Wild Mountain,Epic,1.0
Willamette Pass Crescent,Ikon,1.0
Wolf Creek,Epic,1.0
Woods Valley,Epic,1.0
Yellowstone Club,Epic,1.0
